STRATUM;ISCEDO;MISCED;FISCED;DURECEC;REPEAT;ESCS;UNDREM;METASUM;HOMEPOS;CULTPOSS;HEDRES;WEALTH;ICTRES;DIRINS;PERFEED;EMOSUPS;TEACHINT;JOYREAD;ATTLNACT;COMPETE;WORKMAST;GFOFAIL;EUDMO;SWBP;RESILIENCE;GCSELFEFF;DISCRIM;BELONG;BEINGBULLIED;CURSUPP;EMOSUPP;JOYREADP;PV1MATH;PV1SCIE
PRT0017;1;6;6;5;0;,6327;1,5;1,36;,3819;,5695;-,1357;-,0799;-,14;-,1809;-,0008;1,0346;-1,4401;1,0387;,0321;1,1811;1,8164;1,0671;-,7233;-,3236;,6397;2,3535;,9385;,3241;1,1625;,2615;,739;-,2938;543,419;598,71
PRT0017;1;1;2;3;0;-1,1674;,8;-,57;,2284;,7789;,0477;-,15;-,1536;,5845;,2682;-,6576;-,2934;,7178;1,0844;-,5707;-,1015;,4637;-,1652;,1869;-,5176;-,5257;-,5252;-,3184;-,7823;1,1173;-,5553;,3075;523,814;497,082
PRT0017;1;2;2;3;1;-2,4247;,1;,59;-2,5193;-1,084;-1,3835;-2,3598;-2,805;-1,0988;-,99;-1,2947;,9888;,8628;,443;-2,345;-,7233;-,687;-,9827;-,5928;-,4684;-,472;,8403;-,4509;99;-,7915;-1,7606;-1,2085;440,71;463,28
PRT0017;1;1;1;4;1;-1,3194;-,25;-1,72;-,3642;,0469;,0477;-,3677;-,8694;,0054;,7743;-,6576;-,2934;-,7983;-,6583;,1956;-,1015;,3335;-,3121;-,5928;-,0614;,1904;,5881;-,3184;-,7823;-,3439;-2,2196;-2,2515;475,06;428,439
PRT0017;3;2;2;99;0;-1,1377;,45;,59;-,5272;-,6589;1,1793;-,1038;-,1536;,3183;-,3253;1,0346;-,6079;,1499;-2,5375;-2,345;-,6545;1,8905;1,7411;-,5928;,3858;-,7576;-,6615;-,2143;-,7823;,1155;,739;-,3957;401,191;402,023
PRT0017;1;2;99;99;0;-1,1903;-,25;,98;-,2191;-,4377;-,6853;,3149;,1042;99;-,6555;-1,1869;-1,0615;1,2316;,0042;-,2047;-,1015;,1097;-,569;-1,6203;-,8738;,1389;,9385;-,4415;,2308;,8403;-,5553;,0327;456,865;560,399
PRT0017;1;2;2;5;0;-1,4685;1,15;1,36;-,3854;-,2303;-,6853;-,0995;-,5742;,3183;,7743;1,0346;-1,0615;,0127;1,0844;-,5707;-,1015;-,4342;-,9827;,1869;-,5176;-,1974;,5881;,3241;-,7823;-,1391;,739;-,2574;572,542;489,759
PRT0017;1;1;5;5;1;-,2858;-,25;-1,72;,5406;,3164;1,1793;,4626;,333;1,8202;-1,256;1,0346;,5901;,5286;-,0159;-2,345;-,3986;1,8905;,1333;,6502;,1218;-2,7142;-,172;-,5919;1,5346;4,7142;,0721;2,2623;353,637;398,559
PRT0017;2;5;5;3;1;-,7363;-,6;,21;-,8382;-1,7773;1,1793;-,4057;-,8436;,286;,9044;1,0346;,3684;,9112;,0083;1,1811;,9982;-1,2792;,9269;1,2386;,3858;-,2762;-1,1549;,5082;-,7823;,0186;,739;-,3957;406,041;392,636
PRT0017;1;2;2;1;0;-1,2085;1,5;,59;,0159;,241;-,1357;-,0995;-,5742;,6525;-,3253;1,0346;-1,0615;,2999;1,0844;-,733;,9982;-1,8939;-,569;-,5928;-,0614;-,22;-1,1549;,3018;,2907;1,3171;-,5553;-,9295;503,149;431,782
PRT0017;1;4;2;4;0;-,4781;1,5;,59;-,105;-,1643;-,6853;,1935;-,349;,2649;-,0008;,5029;-,7827;-1,4526;1,0844;-,9792;-,1015;-,3799;,2621;-,5928;-,0614;,1904;,5881;1,4685;,2308;-,2429;-1,7606;-1,3536;518,397;532,878
PRT0017;1;5;2;99;0;,1043;-1,64;-,57;-,2985;-,5466;-,1357;,0877;,1042;1,0067;1,3195;1,0346;-1,725;-,1042;1,0844;-,6888;,487;1,3423;99;,1869;,4558;,2101;,9385;-1,8288;,2308;,1106;-,5553;,7098;468,045;444,204
PRT0017;1;0;1;1;1;-2,3345;-,6;-,18;-1,3937;-1,7773;-,6853;-1,2803;-1,2275;,3183;1,5844;-,6576;-,8262;,5046;,443;-,2047;-,772;-,687;,2621;-,5928;-,4531;,1904;1,7356;-,4509;-,7823;-1,7898;,739;-,6068;372,634;421,913
PRT0017;3;2;2;3;0;-1,1438;,45;,98;,4567;,5695;1,1793;,2413;-,1536;-,3007;-,3253;-2,4468;-,6414;,0995;-1,4117;,1956;,1187;,176;-1,593;-1,7429;-,0607;,0105;1,7356;-,8251;-,7823;99;99;99;491,165;368,977
PRT0017;2;99;99;2;1;,3143; ;-1,72;-1,2558;-,3834;-1,3835;-,9871;-,8499;-1,0499;99;-2,4468;-,8405;-,3068;-1,1561;-,733;99;1,8905;-1,3539;-1,6203;,2703;99;99;-1,0491;2,0604;-,3592;-1,7606;,3075;362,736;365,778
PRT0017;1;6;4;2;0;,7899;-1,64;-,18;,4723;-,0168;,0477;,7328;,6901;-,4339;-,3253;1,0346;-1,1975;,1984;1,0844;2,0054;1,8164;,1097;,2621;-1,1176;-,1097;,1904;-1,1549;-,4296;,8615;-,3189;,739;2,2623;519,012;439,633
PRT0017;1;4;2;3;0;-,0196;1,15;-,57;,9785;,7789;1,1793;,3149;,333;-,5072;-,3253;1,0346;,1744;1,0781;1,0844;-,5707;,5693;,1097;-,9827;,7301;,8236;1,1951;-,3896;,6818;-,7823;,2869;,739;1,369;655,079;632,711
PRT0017;3;2;0;3;0;-1,5325;-,94;,59;-,6049;-,5466;-,6853;-,1989;-,349;,373;,5121;1,0346;,1744;,2694;,443;-,5707;1,8164;-,687;-,267;,7301;-,0614;-,1137;,5881;,114;-,7823;,6308;,739;-1,2085;499,914;487,368
PRT0017;1;0;99;99;0;-2,3705;,45;,59;-,4261;-1,084;-,6853;,2951;-,2993;,7198;-,3253;-,6576;,1744;-,0176;1,0844;-,2661;-,1015;-,687;-1,2188;-,5928;-,0614;,8616;-1,1549;-,3184;-,7823;-,204;-1,7606;-,2938;595,07;592,195
PRT0017;1;2;2;2;1;-1,3356;-,25;,21;-,1399;-,3834;-,5668;,8084;-,0013;,0544;,2682;,2127;,1744;-,9016;,0083;-,6888;-,1015;-,687;,2621;1,2386;-,7622;-,7279;,0004;,3241;,2907;-,8383;-,3733;-1,2085;362,012;366,264
PRT0017;1;4;2;3;0;-,8271;1,15;,98;-,1049;-,372;1,1793;,2369;,333;-1,2468;-,3253;-,6576;-1,0615;-,2704;-1,6139;99;-1,071;,1097;-1,6371;-,5928;-,4684;,6836;,5881;,6818;-,7823;-,5468;-,5553;-1,2085;658,397;570,734
PRT0017;1;6;6;3;0;-,4377;-1,64;-1,72;-,7001;-1,084;-,6853;,0654;-1,0605;,6532;,5121;-,6576;,6797;-1,4526;,0042;,1956;-,6545;,4637;,2621;-,5928;-1,4832;-,541;,5881;-,3184;1,7926;-,5538;-,5553;-1,6723;465,5;329,47
PRT0017;1;2;99;4;1;-1,529;-1,64;-1,72;-,7106;-1,084;-1,0601;,2681;-,8794;,373;2,0165;,3586;-1,0615;-,1119;1,0844;-2,345;-2,7365;,6556;-1,6371;,6502;-,9526;-,7657;1,8725;-,6123;1,1318;-,6255;-,115;-1,985;460,957;374,824
PRT0017;1;4;6;3;1;,4568;-,6;-1,72;,5242;,444;-,1357;,5236;,3875;-1,0988;,1339;,3586;-2,2177;,8193;1,0844;-2,345;,7068;1,8905;1,7411;1,2386;2,3693;1,1578;1,7356;,171;-,7823;,2271;,739;-,0028;503,664;458,133
PRT0017;1;4;6;99;0;-1,0459;-,94;-1,72;-,1664;,2263;,0477;-,3488;-,2532;,6532;-,507;1,0346;-1,0882;-,7215;,4667;,571;-,772;-,687;-,569;,6502;,4152;,1904;1,2902;-,445;1,1211;,6673;-,115;-,2574;366,982;338,592
PRT0017;1;1;2;1;1;-1,7422;-,6;,21;-1,0331;-1,7773;-,9302;-,3377;-,3918;-,4621;-1,6391;99;-,6079;,4627;,4626;-,2661;-,1015;,1097;,2621;1,2386;-,5536;-1,3896;99;,6818;99;,712;-,3733;,3075;496,472;460,955
PRT0017;1;6;6;5;0;1,2218;1,15;,98;,9761;1,8733;-,1357;,3626;,2272;,3176;-,3253;,2127;1,2403;1,7916;,0083;-,9792;,487;,4637;-,569;-,5928;-1,3134;-,1682;-1,1549;-,1939;-,7823;1,1398;,739;-,6539;533,475;498,405
PRT0017;1;6;1;99;1;-,2277; ; ;-,2875;-,0396;-,6853;-,0009;-,2993;1,8202;,9044;1,0346;,1744;,13;1,0844;,1956;-,1015;-,4342;,2621;1,2386;,8496;,1904;1,7356;,319;-,7823;1,677;-1,7606;,7098;427,294;487,95
PRT0017;1;6;5;99;1;-,1471;,45;1,36;-,1799;-,0471;-,1357;-,0307;-,112;1,8202;1,5844;,2169;,6797;1,2316;1,0844;-,9792;-,1015;,4637;,2621;99;-,096;,1904;-1,1549;-,4509;-,7823;99;99;99;485,345;459,717
PRT0016;1;6;0;3;0;,4556;-,94;1,36;-,4837;-,4377;-,1357;-,4349;-,349;-1,417;,3367;-,6576;-,6079;-1,1031;,0083;-1,0214;-,6545;-,2006;1,1963;-,5928;,3858;-1,2632;,5881;,6818;-,7823;,0943;,739;-,0621;577,367;603,406
PRT0016;1;4;4;3;1;-,7953;-,94;,21;-,0287;,3851;1,1793;-,5594;-,8694;1,1049;,5121;1,0346;1,2403;,5572;1,0844;1,2643;-,6545;,052;-,3121;-,5928;-,5325;,4147;-,6615;,6818;-,7823;99;99;99;435,749;476,669
PRT0016;1;0;2;99;0;-,7988;,45;-,18;-,3994;-,3023;-,6853;-,0401;-,6068;-1,2475;-,7784;-1,2947;-1,0615;,6523;1,0844;,1956;1,8164;,8794;-,267;-,5928;-,0614;-,792;,5881;,165;-,7823;-1,2011;-1,7606;-,0968;508,116;475,046
PRT0016;1;6;2;2;0;1,3674;1,5;,98;1,6709;1,8733;1,1793;1,2747;,9144;1,1049;1,5844;1,0346;,3684;-,4423;1,0844;1,1811;,5693;-,9295;,1333;,7301;,8496;,6326;-1,1549;,6576;-,7823;-,5434;,739;,0327;514,23;512,324
PRT0016;1;6;3;3;1;-,1852;-,6;-1,72;-1,6013;-1,7773;-2,049;-,5342;-,5503;,4301;1,5844;-,6576;-,2368;-2,7114;-,6583;-1,3898;-,772;-1,1597;,8126;-1,566;-1,3068;-,9111;-,3887;-,4415;,1462;-,492;-1,0722;-,3773;398,12;418,662
PRT0016;1;0;2;3;1;-1,7108;-,6;-1,72;-,9624;-,6938;-1,2793;-,2434;-1,2275;-,2546;1,0514;-,6576;,1744;-,4556;-1,1638;-,9792;-,1015;,1097;-,267;-,5928;-1,1108;-,9477;,5881;-,4509;-,7823;-1,2272;-,4858;-,9295;411,171;433,315
PRT0016;1;2;1;3;0;-,7667;1,5;,98;,1051;,3001;,0477;-,1189;,0895;-,0424;,0728;-1,0657;-,2368;-,4934;1,0844;2,0054;-,1015;1,4083;-,9827;-,5928;-,8738;-,4016;,5881;-,6306;,7703;-,6715;-,5553;-,0968;546,89;511,739
PRT0016;1;99;3;99;0;-,9039;1,5;1,36;-,3702;-,5466;-,6122;,0301;-,3276;1,0067;1,1225;-,6576;,6797;-,1042;1,0844;,1956;1,1448;,4637;-,9827;-,5928;-,5176;,3716;,2281;-,6693;-,7823;1,9173;,739;,7098;593,175;593,724
PRT0016;1;4;2;2;0;-,3576;,45;,98;,2522;,2383;,0477;,0553;-,1536;-,5066;,0728;1,0346;-,2934;1,5482;,0083;-,2661;1,1448;,4637;-,9827;,6502;,3858;,279;-1,1549;,0348;,7703;-,0234;,739;,3075;588,842;623,499
PRT0016;1;5;5;2;0;-,8471;-,94;,21;-,9168;-,4377;-,4903;-,6294;-1,47;-1,7085;-1,6391;-,6576;-,537;-1,4882;-1,1664;,571;-,1015;,8207;-,0193;-1,1176;-,7911;-,3544;,1265;-,5613;-,7823;-,752;-,115;-,3838;338,184;394,987
PRT0016;1;1;1;3;1;-1,6666;,45;,59;-,3749;-1,7773;,0477;,3854;,0895;-,2081;,5121;1,0346;,1744;,3568;1,0844;-,9792;-,772;-,687;1,7411;,7301;-,4684;-,9477;-,6615;-,3184;-,7823;,5809;,739;-,5589;440,213;431,524
PRT0016;1;3;2;3;0;-1,2226;-,25;1,36;-,8731;-1,7773;-,6853;-,3014;-,349;-,7598;-,3253;1,0346;-,6079;,2694;1,0844;-,9792;-,1015;-,13;,2621;-,5928;-,4684;-,4468;-1,1549;,6818;-,7823;,9576;,739;,7098;598,048;504,107
PRT0016;3;6;2;3;9;,6494;-1,64;-,18;1,6814;,7789;1,1793;1,0506;,069;-,0893;1,1225;1,0346;,1744;,1202;-2,5375;,7871;1,1448;-,0288;-,3121;1,2386;,4558;,3635;1,2902;,319;-,7823;-,7179;-1,7606;-,8525;382,474;416,851
PRT0016;3;3;2;99;0;-,1552;-,6;,59;-,1275;,5695;1,1793;-,8102;-,8694;,0836;-,3253;1,0346;,1744;,8418;-,6583;-,2047;-,772;-,687;,2621;,7301;-,0614;,3655;-,1731;,6818;-,7823;,8159;,0721;,0327;492,804;478,36
PRT0016;1;2;2;3;1;-1,612;-1,29;-,57;-,6785;-,2634;,0477;-,5084;-,6231;,286;,0728;-,9167;,9684;,4627;1,0844;2,0054;,9982;,3335;,6367;1,2386;1,6219;1,465;,1265;,472;,1462;,155;-,5553;,3075;482,426;536,359
PRT0016;3;4;2;0;0;,0009;,45;,59;-,1166;,7789;-,1357;-,6407;-1,7601;-,1809;,7743;-,6576;,636;-1,9715;1,0844;-,9792;-,772;,4637;-,9827;,1869;-,0614;-1,0553;-1,1549;-,7764;-,7823;2,0469;,739;2,2623;480,511;521,347
PRT0016;1;2;1;2;0;-,6319;1,15;,98;,9336;,4903;-,6853;1,4086;,135;,0836;,5121;-,6576;,1744;-,3875;1,0844;,1956;-,1015;-,687;,2621;-,5928;-,0614;-,5257;-1,1549;,0348;-,7823;,1353;,0721;,3075;604,427;587,969
PRT0016;1;5;1;3;0;,6596;1,5;1,36;,4928;,1706;-,6853;1,1949;,1042;-1,5502;-1,6391;-,6439;-,5905;1,2316;,4667;-,5707;-,1015;1,8905;-1,7389;-,5928;-1,2809;-,262;-,5252;-,4509;,2907;-,4461;,739;-,9295;532,034;528,348
PRT0016;1;2;6;3;0;1,1418;-,25;,59;,9272;,7789;-,1357;,515;,1042;-1,7471;-1,1311;-1,1847;-1,7468;-,7215;1,0844;1,1811;-,6545;1,3423;-,569;-,5928;-1,2947;1,1951;1,2902;-1,0499;1,2618;-,5591;,739;-1,985;599,681;527,676
PRT0016;1;4;2;2;0;-,2616;-,6;-,18;-,1809;,4051;-,4903;-,6836;-,6231;-1,0988;-,99;1,0346;-,8687;-,3529;-2,5375;2,0054;1,8164;1,8905;-,267;-,5928;,3858;,4009;-1,1549;-,3485;-,7823;,9249;,739;1,369;493,437;447,213
PRT0016;1;1;1;3;0;-2,008;-,25;1,36;-,2351;,2708;-,6853;-,4462;-,5503;-2,1704;-,6555;1,0346;-,8687;,5185;1,0844;-1,1146;,6291;-,0845;1,243;-,5928;-1,0974;-,3641;-,6615;-,2159;-,7823;,0303;,739;-1,2524;512,294;485,109
PRT0016;1;4;5;3;0;,3157;,1;,98;-,4567;-,3487;-,6853;-,2823;-,6068;-,5794;,299;1,0346;-1,0615;,7178;,0083;-,2661;-1,071;-,13;-,6723;1,2386;-1,2865;-,6722;-1,1549;-,9836;,2907;-,6975;,739;,3685;553,278;570,926
PRT0016;1;6;6;3;0;,8691;,1;,59;,1207;-,5466;-,1357;,8432;,3875;,6525;-,6555;1,0346;-,2934;-,2704;-,6583;,1956;-,1015;,8794;-,6723;-,5928;-,4684;,3836;-1,1549;1,4685;-,7823;,5236;,739;1,369;597,644;546,136
PRT0016;1;6;1;3;0;,8751;-,6;1,36;,409;,5159;-,1357;,0316;-,5742;-2,9425;-1,6391;1,0346;-2,2177;1,5998;1,0844;-2,345;1,0596;1,0109;-,1652;1,2386;,3139;,9683;1,2028;-,461;-,7823;-,5591;,739;2,2623;500,858;500,603
PRT0016;1;5;5;3;0;1,3546;-1,64;-1,72;1,6371;1,8733;1,1793;,9161;2,6563;-,5072;,7743;1,0346;,1744;1,0781;1,0844;,6314;1,8164;-1,8939;1,7411;1,2386;,7251;,1904;,5881;-,5707;-,7823;1,3171;-,115;,4072;450,136;413,883
PRT0016;1;99;99;3;0;-,0035;1,5;,21;-,1774;-,1124;1,1793;-,4744;-,3918;-,5072;,7743;,2169;,1744;-,5959;-,6583;-,2661;-,6545;-,687;-,9827;-,5928;-,4684;-,2447;-1,1549;-,3184;-,7823;-,309;,739;-,6539;622,772;570,41
PRT0016;1;4;2;1;1;-,2665;,1;,98;-,1492;,3851;,0477;-,612;-,94;-,5072;-,3253;1,0346;-,2934;-,2786;1,0844;-1,3898;-,1015;-,687;,0494;-,5928;-,0614;-,22;-1,1549;,6678;-,7823;,6771;,0721;,0327;513,498;504,276
PRT0007;1;6;6;5;0;1,31;-,25;,21;1,1571;,5695;1,1793;1,0553;,6901;1,8202;,9044;1,0346;1,8245;,0127;1,0844;1,1811;-,1015;-,9823;1,7411;1,2386;-,5536;,1904;-,3896;1,4326;-,7823;1,5823;,739;2,2623;587,366;555,852
PRT0007;1;6;6;3;0;,8051;,45;,59;-,1238;-,522;-,6853;,5815;-,349;-,2081;,0728;1,0346;-,6414;,9908;-,6583;-,733;-,6545;,4637;-,9827;1,2386;-,0614;,9683;,4797;-,3184;-,7823;2,1038;,739;,3075;591,746;572,374
PRT0007;1;6;6;99;0;1,4515;1,5;-,18;1,1746;,1027;-,1357;1,5552;1,0192;1,0067;,7743;1,0346;1,3209;1,6946;,4667;-,6888;1,1448;,1097;99;1,2386;,7872;-,233;-1,1549;-,6765;,2907;,2726;,739;-,9426;440,345;520,895
PRT0007;1;4;99;3;0;-,7888;,1;,21;-1,1344;-1,084;-,6853;-,85;-,6068;-,2814;,7743;1,0346;1,8245;-2,7114;1,0844;2,0054;1,8164;-1,8939;1,7411;1,2386;-,0614;,1904;-1,1549;2,7249;-,7823;99;99;99;523,265;491,108
PRT0007;1;6;6;3;0;,7245;,45;1,36;-,1545;-,1075;-,6853;,2904;-,112;1,1049;-,7784;1,0346;1,8245;,0127;-,6583;,1956;-,1015;-,687;,2621;1,2386;-,0614;,6326;-1,1549;,6818;-,7823;,2672;,739;1,369;577,127;600,488
PRT0007;1;5;5;3;0;,6208;,1;-1,34;,4123;,2004;-,1357;,1455;,1042;,2329;-,3253;-,6576;,9276;,1984;1,0844;,1956;-,1015;,1097;,2621;,6502;-,0614;-,3756;1,5785;,0348;1,8016;-,0343;-,5553;,8279;526,8;525,884
PRT0007;1;4;1;1;0;-1,0036;,45;-,18;-,4508;-,4377;,0477;-,3871;-,1536;,6525;-,3253;1,0346;,9276;,1816;1,0844;,1956;-,1015;,1097;-,6723;1,2386;,0018;-,2642;-1,1549;-,1939;-,7823;1,3171;-,5553;,3685;493,313;439,803
PRT0007;1;4;6;4;0;,9375;1,15;,21;,3488;,3001;-,1357;,4265;-,5402;,373;,2682;,3586;1,8245;-1,7421;-,6117;,3709;-,6545;-,6133;1,1963;,7301;-,096;,1198;-,6615;,9303;-,7823;-,0561;,739;-1,0017;525,838;538,361
PRT0007;1;4;4;3;0;,1471;,45;,59;,3027;-,1124;-,1357;,6329;,1406;,0054;,5121;-,6576;1,8245;-,3253;1,0844;-,733;-,7233;,1097;-,9827;-,5928;-,8109;,0346;-1,1549;-,3397;-,7823;-,4111;,0721;-,5589;429,242;401,604
PRT0007;1;4;3;2;0;-,4223;,1;,59;-,4372;-1,7773;-,6853;,2819;-,6068;,0836;,7743;-,6576;,1744;2,6131;-2,5375;1,2643;,7068;1,4083;-,9827;-2,1239;,6769;,418;1,7356;-2,0711;,7703;-,1391;,739;,7098;567,529;579,868
PRT0007;1;6;2;2;0;1,1643;1,5;,21;1,1171;,7789;-,6853;1,5665;,3875;,6525;-,122;1,0346;,1744;,4444;1,0844;,411;,487;,052;,8126;1,2386;,3858;2,3535;,5881;2,7249;-,7823;99;99;99;487,921;454,836
PRT0007;1;2;2;3;0;-1,1595;-,6;-,18;-,1465;-,175;-,6853;,2521;-,349;,5467;2,0165;1,0346;1,8245;,7568;1,0844;,2653;,9982;,8207;1,348;,7301;-,5787;,4478;-1,1549;,0255;,2907;-,472;,739;-1,9981;497,585;578,44
PRT0007;1;6;6;3;0;,5489;1,5;,98;,3424;,4051;-,1357;-,0571;-,112;-,5522;,299;,5029;1,2403;-,6146;1,0844;,411;,9982;,4637;-,523;-,5928;-,4684;-,1524;,2143;-,0358;,2907;1,6185;,0721;,8279;628,524;556,23
PRT0007;1;6;4;4;0;,7911;,8;1,36;,0984;-,3456;-,6853;1,1435;,135;,286;2,0165;,2127;1,8245;1,2316;,4626;,4352;-,772;1,8905;-,6723;-2,1239;-1,5166;,5708;-1,1549;-1,2719;2,0604;,2615;,739;-,5735;537,678;576,902
PRT0007;1;6;4;5;0;1,4708;,1;1,36;1,3264;,7789;-,6853;1,2419;1,3669;,0836;-,3253;1,0346;1,8245;1,5482;,4626;-,2661;1,0596;1,0671;-1,2631;-,5928;,7877;,7593;-,2021;-1,1206;-,7823;,5236;,739;-1,2085;606,67;551,285
PRT0007;1;6;6;3;0;,8279;1,5;,98;-,1636;-,1124;-,6853;-,0606;,0847;-,1803;-,3253;-1,3914;1,8245;1,3493;1,0844;-,6151;1,1448;-,3799;,2621;1,2386;-,0129;1,0612;-1,1549;,9303;-,7823;-,9122;-2,4782;,0327;495,442;544,863
PRT0007;1;6;6;3;0;1,2656;-1,64;-,57;1,3092;1,8733;-,1357;,8578;,1042;,6532;-,3253;-,6576;1,8245;-,4629;,4667;,7871;1,8164;-,9823;,2621;1,2386;1,111;,6836;-,1731;,3241;-,7823;99;99;99;589,944;540,219
PRT0007;1;99;3;4;0;-,2823;,45;,59;,0624;-,5466;1,1793;,5848;-,125;,3183;1,5844;1,0346;1,8245;-1,0555;1,0844;-,357;,6291;,7405;-1,0946;1,2386;1,0615;-,0116;-1,1549;-,0801;-,7823;-,651;,0721;-1,7122;459,832;470,837
PRT0007;1;2;6;4;0;,4122;-,6;1,36;,1823;-,2691;-,1357;,6256;,1042;-,5072;-,1625;-1,0657;,1744;,3171;1,0844;-,733;-1,034;1,1911;1,7411;,6502;-,5029;-,8963;-1,1549;2,7249;-,7823;4,7142;-,4858;,4072;506,112;516,08
PRT0007;1;6;6;2;0;1,2965;1,5;1,36;1,0063;1,8733;-,1357;,626;-,14;,3183;,5121;-,6576;1,8245;1,2316;,0281;-,4112;-,1015;-,687;-,9827;-,5928;-,0614;,4478;-1,1549;-,3184;-,7823;1,9885;-,3733;1,369;555,282;603,065
PRT0007;1;6;6;0;0;1,2058;-,6;-1,72;1,2151;,7789;1,1793;,4626;,333;1,8202;2,0165;1,0346;1,8245;,3718;1,0844;,992;1,0596;-,687;1,7411;1,2386;2,3693;2,3535;-,1731;99;-,7823;-,3747;,739;2,2623;519,909;471,26
PRT0011;1;6;2;4;0;,1154;-1,64;-,95;-,3853;-,5466;-,6853;,107;-,112;,0836;-,6555;-,6576;,636;-,1042;1,0844;1,1811;-,1015;-,3799;,2621;1,2386;-,0614;-,078;-1,1549;-,0633;-,7823;-,2429;-,5553;-1,985;573,571;530,613
PRT0011;2;1;1;4;1;-2,242;-1,64;-1,34;-1,0811;-,0471;-,6853;-1,6716;-1,4086;1,1049;,7743;-,6576;,6797;-,1707;,0281;,1956;-,1015;-,4342;,2621;,5012;-,0614;,1904;-1,1549;-,5707;99;-,1147;-1,7606;-,9295;412,375;418,221
PRT0011;1;1;0;3;0;-1,4242;,45;,59;-,7408;-,7691;-,6853;-,3482;-,6068;-,5066;,0728;99;,6797;,1338;1,0844;-,4112;,487;,1097;,2621;,5012;-,0614;-,2148;99;,393;99;,0456;,0721;-1,4402;525,268;499,376
PRT0011;1;99;99;99;9; ; ; ;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;99;434,946;467,561
PRT0011;1;1;3;1;1;-1,3735;-,25;,59;-1,0566;-,5466;-1,3835;-,1388;-1,3654;,0836;2,0165;,2127;1,3209;1,0781;,4667;-,9792;-,6545;1,8905;,2621;-,5928;-,8109;-,9477;,5881;-1,0499;99;-,2518;,0721;,7784;429,247;437,498
PRT0011;1;4;99;3;0;-1,0755;,45;1,36;-,6927;-,6938;,0477;-,2296;-,118;1,8202;-,6555;99;,1744;-,5262;-,6583;,2653;-,1015;-,687;-,3121;1,2386;-,4684;,1904;99;-,3184;99;,1826;,739;-,5589;538,753;582,923
